City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,east london,-33.0153,27.9116,21.52,94,100,4.63,ZA,1676223483
142,bredasdorp,-34.5322,20.0403,23.05,68,6,3.21,ZA,1676223483
143,carmelo,-33.9892,-58.2856,40.31,15,0,5.53,UY,1676223484
144,batticaloa,7.7102,81.6924,23.69,77,72,2.83,LK,1676223484
145,qasigiannguit,68.8193,-51.1922,-21.86,93,29,0.87,GL,1676223484
146,kiama,-34.6833,150.8667,21.11,93,100,0.45,AU,1676223485
147,samarai,-10.6167,150.6667,27.53,76,97,2.22,PG,1676223485
148,urusha,54.05,122.9,-22.79,97,95,1.13,RU,1676223485
149,bambous virieux,-20.3428,57.7575,26.14,69,40,3.09,MU,1676223486
150,arlit,18.7369,7.3853,26.8,16,0,7.13,NE,1676223486
151,sinnamary,5.3833,-52.95,26.05,85,90,5.68,GF,1676223487
152,jamtara,23.95,86.8,19.09,19,0,4.78,IN,1676223487
153,srednekolymsk,67.45,153.6833,-35.84,99,100,0.34,RU,1676223487
154,adrar,20.5022,-10.0711,31.67,7,89,2.41,MR,1676223488
155,carnarvon,-24.8667,113.6333,25.54,66,0,9.57,AU,1676223488
156,potiskum,11.7091,11.0694,26.22,16,0,5.19,NG,1676223489
157,iqaluit,63.7506,-68.5145,-30.15,67,20,2.06,CA,1676223489
158,hasaki,35.7333,140.8333,9.56,86,100,5.44,JP,1676223489
159,kidal,18.4411,1.4078,29.07,13,17,4.97,ML,1676223490
160,port elizabeth,-33.918,25.5701,24.5,88,100,7.72,ZA,1676223490
161,gawler,-34.6,138.7333,15.08,79,84,2.39,AU,1676223490
162,ponta do sol,32.6667,-17.1,18.89,80,82,2.72,PT,1676223486
163,manlleu,42.0023,2.2848,8.56,72,0,1.29,ES,1676223404
164,tiznit,29.5833,-9.5,17.53,28,100,4.8,MA,1676223491
165,naro moru,-0.1676,37.0213,12.41,52,49,1.37,KE,1676223492
166,kabinda,-6.1333,24.4833,19.68,95,97,1.76,CD,1676223492
167,lagoa,39.05,-27.9833,13.91,68,72,10.51,PT,1676223492
168,saint anthony,45.0205,-93.218,2.3,73,75,1.54,US,1676223367
169,atar,20.5169,-13.0499,29.28,16,98,4.09,MR,1676223493
170,tuatapere,-46.1333,167.6833,11.55,94,96,1.23,NZ,1676223493
171,rach gia,10.0167,105.0833,24.79,79,89,3.25,VN,1676223494
172,mugumu,-1.85,34.7,19.42,60,96,1.05,TZ,1676223494
